epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8838,1.99353,2.93973,2.07601,0.00369,0.92523,0.24431,0.08733,2.10935,3.5583,2.45472,0.000649123,0.000649123,0.000649123
2,34.2721,1.97016,2.65181,2.03042,0.14819,0.14486,0.08993,0.02066,2.61726,3.87465,3.04455,0.00128974,0.00128974,0.00128974
3,49.3089,2.02529,2.61872,2.07248,0.13484,0.23364,0.09648,0.03338,2.63524,11.5012,3.20748,0.00190395,0.00190395,0.00190395
4,64.4065,2.02151,2.52141,2.05113,0.23002,0.21963,0.13309,0.03845,2.49135,5.70369,2.93063,0.0018812,0.0018812,0.0018812
5,79.047,2.02123,2.46651,2.03331,0.26485,0.22897,0.18097,0.05987,2.53782,3.81584,2.84116,0.0018416,0.0018416,0.0018416
6,94.1346,1.96582,2.43766,2.06327,0.23666,0.26636,0.17831,0.05305,2.49068,6.37333,2.80571,0.001802,0.001802,0.001802
7,108.835,1.95918,2.38904,1.98348,0.36046,0.26636,0.25641,0.08969,2.25483,3.1497,2.36203,0.0017624,0.0017624,0.0017624
8,123.828,1.94162,2.32018,1.97969,0.33935,0.35044,0.27013,0.11094,2.20636,2.56436,2.42206,0.0017228,0.0017228,0.0017228
9,138.551,1.88824,2.20856,1.97125,0.38954,0.35047,0.31559,0.11464,2.20346,2.48039,2.40092,0.0016832,0.0016832,0.0016832
10,153.949,1.88215,2.18462,1.97155,0.38087,0.42991,0.37292,0.13474,2.14443,2.55781,2.2832,0.0016436,0.0016436,0.0016436
11,168.713,1.8719,2.15216,1.91756,0.37229,0.41018,0.29712,0.10392,2.18651,2.44123,2.29014,0.001604,0.001604,0.001604
12,182.949,1.83571,2.08587,1.88901,0.47853,0.37307,0.35991,0.12712,2.26141,2.4642,2.37368,0.0015644,0.0015644,0.0015644
13,197.707,1.85504,2.10041,1.89479,0.48239,0.3785,0.36149,0.13573,2.21889,2.38419,2.27855,0.0015248,0.0015248,0.0015248
14,212.404,1.81809,2.02533,1.85425,0.58983,0.45695,0.44694,0.16243,2.09414,2.17768,2.26224,0.0014852,0.0014852,0.0014852
15,226.967,1.80111,1.96287,1.82944,0.56189,0.38356,0.41198,0.17684,2.03534,2.16592,2.16763,0.0014456,0.0014456,0.0014456
16,242.292,1.78088,1.953,1.82689,0.58285,0.50274,0.50637,0.20767,2.01926,1.9536,2.10689,0.001406,0.001406,0.001406
17,256.61,1.76612,1.89948,1.80768,0.58587,0.41589,0.45721,0.19161,2.03474,2.12265,2.19576,0.0013664,0.0013664,0.0013664
18,271.729,1.77008,1.87303,1.82728,0.57829,0.44393,0.41615,0.16673,2.15333,2.08457,2.25058,0.0013268,0.0013268,0.0013268
19,286.602,1.71739,1.78719,1.73891,0.63687,0.43458,0.48251,0.20022,2.05377,2.00298,2.12824,0.0012872,0.0012872,0.0012872
20,301.45,1.72907,1.78317,1.78559,0.63698,0.5,0.52256,0.2125,2.00879,1.99363,2.19439,0.0012476,0.0012476,0.0012476
21,316.16,1.74123,1.83479,1.79286,0.70274,0.58411,0.62491,0.2554,1.95042,1.81744,2.07195,0.001208,0.001208,0.001208
22,330.665,1.68859,1.77008,1.7485,0.45561,0.51869,0.47255,0.20448,2.00764,2.03404,2.17533,0.0011684,0.0011684,0.0011684
23,346.017,1.64779,1.74909,1.72637,0.69432,0.61682,0.66424,0.30503,1.80069,1.69125,1.97298,0.0011288,0.0011288,0.0011288
24,360.669,1.64958,1.68099,1.71839,0.61638,0.57477,0.62243,0.27143,1.92723,1.73211,2.03196,0.0010892,0.0010892,0.0010892
25,374.398,1.62188,1.67034,1.69926,0.70347,0.5514,0.63244,0.27884,1.86242,1.75966,2.02099,0.0010496,0.0010496,0.0010496
26,389.831,1.61236,1.63554,1.68606,0.69926,0.56498,0.65035,0.27512,1.96694,1.74352,2.06422,0.00101,0.00101,0.00101
27,403.2,1.60116,1.55894,1.65593,0.73337,0.54206,0.63369,0.25766,2.04088,1.74043,2.19655,0.0009704,0.0009704,0.0009704
28,416.893,1.60855,1.53905,1.65768,0.72679,0.57009,0.63118,0.28212,1.94036,1.62653,2.04384,0.0009308,0.0009308,0.0009308
29,432.408,1.56164,1.53489,1.62982,0.75794,0.52804,0.65883,0.29865,1.919,1.67938,2.0131,0.0008912,0.0008912,0.0008912
30,446.46,1.5805,1.48351,1.6166,0.73594,0.58608,0.62796,0.27073,1.94159,1.67479,2.01555,0.0008516,0.0008516,0.0008516
31,461.526,1.55685,1.45371,1.61952,0.73817,0.58411,0.65844,0.3045,1.93801,1.58592,2.02337,0.000812,0.000812,0.000812
32,475.925,1.55543,1.4455,1.61997,0.66327,0.56075,0.61045,0.26914,1.93064,1.69975,2.0541,0.0007724,0.0007724,0.0007724
33,490.826,1.5311,1.46373,1.62267,0.72472,0.58411,0.68406,0.29981,1.95401,1.59637,2.05082,0.0007328,0.0007328,0.0007328
34,505.545,1.50162,1.38464,1.57943,0.72162,0.59346,0.66216,0.30217,1.87265,1.54899,1.99321,0.0006932,0.0006932,0.0006932
35,520.147,1.53972,1.42074,1.61284,0.7697,0.64019,0.69174,0.29542,1.91068,1.614,2.02427,0.0006536,0.0006536,0.0006536
36,534.899,1.45529,1.37643,1.56369,0.77308,0.59346,0.69131,0.31329,1.91447,1.52307,1.98154,0.000614,0.000614,0.000614
37,550.058,1.48015,1.33375,1.54966,0.68722,0.62617,0.66748,0.29617,2.04116,1.55144,2.13837,0.0005744,0.0005744,0.0005744
38,564.8,1.45204,1.31662,1.53612,0.74104,0.61512,0.68065,0.31489,1.95268,1.53165,2.03928,0.0005348,0.0005348,0.0005348
39,579.947,1.43521,1.29011,1.53048,0.71947,0.63551,0.70942,0.31834,1.92964,1.50003,2.02038,0.0004952,0.0004952,0.0004952
40,594.147,1.42577,1.23466,1.50998,0.70767,0.70093,0.73116,0.32575,1.94312,1.41872,2.03737,0.0004556,0.0004556,0.0004556
41,611.821,1.4584,1.17663,1.60452,0.75573,0.65058,0.70201,0.31707,1.98016,1.52783,2.08141,0.000416,0.000416,0.000416
42,626.24,1.40966,1.09917,1.5681,0.66324,0.65421,0.68655,0.31617,1.92272,1.52604,2.03614,0.0003764,0.0003764,0.0003764
43,640.513,1.3508,1.01368,1.52324,0.75518,0.64866,0.70398,0.33213,1.95104,1.45677,2.06176,0.0003368,0.0003368,0.0003368
44,654.763,1.33401,0.97438,1.50953,0.80431,0.64486,0.71468,0.33762,1.9183,1.41068,2.04427,0.0002972,0.0002972,0.0002972
45,669.015,1.30102,0.9621,1.47791,0.79467,0.64486,0.72811,0.34583,1.91134,1.39147,2.0095,0.0002576,0.0002576,0.0002576
46,683.694,1.27781,0.93167,1.46599,0.81633,0.6023,0.72729,0.3362,1.92286,1.39337,2.03413,0.000218,0.000218,0.000218
47,698.453,1.24563,0.90762,1.44784,0.82131,0.64486,0.74814,0.34322,1.89234,1.3753,1.9823,0.0001784,0.0001784,0.0001784
48,712.902,1.22425,0.89519,1.42779,0.78792,0.66355,0.74326,0.35354,1.89881,1.381,1.99518,0.0001388,0.0001388,0.0001388
49,727.317,1.19704,0.87287,1.41292,0.77393,0.68692,0.75274,0.34827,1.88497,1.37413,1.98801,9.92e-05,9.92e-05,9.92e-05
50,741.376,1.17518,0.85954,1.40399,0.80673,0.64019,0.7454,0.34562,1.89146,1.36165,2.00176,5.96e-05,5.96e-05,5.96e-05
