epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72257,1.09117,2.60035,1.32387,0.00325,0.95122,0.36826,0.15614,1.8661,3.76965,2.29525,8e-05,8e-05,0.09208
2,10.4484,1.13392,1.58541,1.36961,0.00467,0.36585,0.03391,0.00654,3.68174,3.23353,4.91149,0.000169958,0.000169958,0.08317
3,13.214,1.10115,1.20054,1.29701,0.00354,0.29268,0.03876,0.00464,3.53042,3.26657,4.52936,0.000259746,0.000259746,0.0742597
4,16.0669,0.98397,1.0004,1.24438,0.007,0.5122,0.05276,0.00708,3.39021,3.52278,4.95635,0.000349231,0.000349231,0.0653492
5,19.3261,1.05211,0.95441,1.28156,0.00962,0.85366,0.48031,0.16585,2.26607,3.1605,2.99917,0.000438283,0.000438283,0.0564383
6,23.737,1.08526,1.01231,1.33348,0.95766,0.43902,0.84305,0.52125,1.35372,2.22091,1.83272,0.00052677,0.00052677,0.0475268
7,26.4602,1.06145,1.00264,1.28199,0.86713,0.796,0.86666,0.48215,1.39876,1.45012,1.95714,0.000614564,0.000614564,0.0386146
8,29.3321,1.05566,0.89486,1.27454,0.86436,0.7561,0.89744,0.55609,1.28926,1.68954,1.69563,0.000701536,0.000701536,0.0297015
9,32.1192,1.02323,0.82935,1.22917,0.87976,0.71397,0.87484,0.5769,1.25851,1.52427,1.72484,0.000787559,0.000787559,0.0207876
10,35.5542,1.00345,0.85631,1.24718,0.94141,0.78049,0.9001,0.5836,1.33643,1.38445,1.79092,0.000872507,0.000872507,0.0118725
11,39.683,1.0246,0.84986,1.24464,0.96961,0.77834,0.88635,0.55593,1.41426,1.37131,1.81843,0.000956258,0.000956258,0.00295626
12,42.4025,1.01739,0.83794,1.2265,0.69173,0.90244,0.8548,0.55677,1.17476,1.09272,1.61584,0.000970736,0.000970736,0.000970736
13,45.6671,0.95216,0.86462,1.19816,0.86791,0.78049,0.90105,0.59253,1.19934,1.03241,1.64098,0.000965239,0.000965239,0.000965239
14,48.3189,0.96641,0.82847,1.21783,0.90206,0.80488,0.92177,0.56457,1.25207,1.01177,1.79041,0.000959289,0.000959289,0.000959289
15,51.889,1.0272,0.88797,1.27487,0.97101,0.81724,0.93391,0.61494,1.1426,0.86756,1.65985,0.000952889,0.000952889,0.000952889
16,55.7341,0.99241,0.82792,1.23124,0.85287,0.85366,0.89923,0.56514,1.30615,1.00655,1.77985,0.000946048,0.000946048,0.000946048
17,58.316,0.96892,0.8002,1.22407,0.8386,0.88724,0.93245,0.66765,1.008,0.92968,1.41885,0.000938772,0.000938772,0.000938772
18,62.1642,0.91407,0.79889,1.22147,0.92305,0.80488,0.92605,0.64705,1.0455,1.19047,1.43195,0.000931067,0.000931067,0.000931067
19,64.7541,1.00898,0.7938,1.24411,0.94363,0.90244,0.92886,0.64852,1.01719,0.95746,1.46644,0.000922942,0.000922942,0.000922942
20,68.2786,0.97452,0.73964,1.22317,0.88594,0.92683,0.94106,0.71249,0.95857,1.07081,1.39331,0.000914405,0.000914405,0.000914405
21,73.3284,0.96505,0.77322,1.19941,0.80953,0.82928,0.89362,0.66488,1.04775,1.09872,1.41275,0.000905463,0.000905463,0.000905463
22,75.8512,0.97651,0.75609,1.20403,0.83927,0.76428,0.86549,0.60308,1.14757,1.02464,1.51324,0.000896127,0.000896127,0.000896127
23,78.3328,0.98854,0.7554,1.22261,0.91361,0.82927,0.90224,0.62098,1.13137,0.91691,1.5428,0.000886404,0.000886404,0.000886404
24,82.9588,0.89891,0.66818,1.17797,0.94233,0.79721,0.8972,0.6107,1.25153,0.89087,1.64414,0.000876305,0.000876305,0.000876305
25,86.8398,0.99124,0.68035,1.22998,0.93677,0.72283,0.86502,0.59369,1.17867,1.0026,1.56519,0.000865839,0.000865839,0.000865839
26,89.4959,0.95297,0.68236,1.19177,0.90563,0.70732,0.82344,0.5071,1.28368,1.2911,1.65086,0.000855018,0.000855018,0.000855018
27,92.1274,0.91752,0.72987,1.19237,0.85872,0.80488,0.84698,0.55325,1.20627,1.22718,1.613,0.000843851,0.000843851,0.000843851
28,94.5821,0.92198,0.69148,1.18028,0.99101,0.82927,0.94071,0.65453,1.07576,0.90628,1.46463,0.000832349,0.000832349,0.000832349
29,97.8448,0.95079,0.71164,1.21039,0.98907,0.90244,0.96701,0.68277,1.10789,0.69153,1.49526,0.000820525,0.000820525,0.000820525
30,101.573,0.91636,0.65097,1.19921,0.91718,0.92683,0.95528,0.6293,1.19969,0.70566,1.58097,0.000808389,0.000808389,0.000808389
31,104.949,0.96106,0.69037,1.19926,0.92911,0.97561,0.97012,0.62648,1.20953,0.67003,1.58018,0.000795954,0.000795954,0.000795954
32,107.591,0.96464,0.73944,1.21804,0.99572,0.95122,0.97167,0.70875,1.059,0.59412,1.45842,0.000783231,0.000783231,0.000783231
33,110.193,0.90097,0.65672,1.17952,0.97493,0.94859,0.97164,0.70909,1.11662,0.6265,1.48033,0.000770234,0.000770234,0.000770234
34,113.113,0.90659,0.66291,1.1663,0.97191,0.95122,0.965,0.70284,1.10001,0.61484,1.4916,0.000756976,0.000756976,0.000756976
35,116.969,0.85043,0.60863,1.16015,0.94769,0.95122,0.96215,0.69363,1.11365,0.69618,1.51522,0.000743468,0.000743468,0.000743468
36,120.097,0.88356,0.60278,1.17308,0.99731,0.95122,0.97167,0.70827,1.06146,0.57306,1.45106,0.000729725,0.000729725,0.000729725
37,122.842,0.91034,0.66403,1.20757,0.99403,0.92683,0.97262,0.70278,1.11858,0.64405,1.47978,0.000715761,0.000715761,0.000715761
38,125.505,0.86964,0.63793,1.1662,0.99849,0.95122,0.97278,0.70295,1.08124,0.71767,1.43705,0.000701588,0.000701588,0.000701588
39,128.239,0.88574,0.65484,1.17266,0.97108,0.97561,0.97378,0.7201,1.0749,0.64953,1.46769,0.000687222,0.000687222,0.000687222
40,132.44,0.87847,0.64216,1.17097,0.9756,0.97523,0.97451,0.69489,1.1548,0.59315,1.55458,0.000672675,0.000672675,0.000672675
41,135.638,0.86758,0.5918,1.18455,0.96803,0.95122,0.97114,0.69274,1.12356,0.57692,1.51028,0.000657963,0.000657963,0.000657963
42,138.165,0.86336,0.59587,1.15582,0.97359,0.92683,0.96393,0.69756,1.04029,0.58066,1.41668,0.000643101,0.000643101,0.000643101
43,141.419,0.87872,0.63887,1.17219,0.99394,0.90244,0.96327,0.7017,1.01313,0.58305,1.37336,0.000628101,0.000628101,0.000628101
44,144.004,0.82135,0.57765,1.13396,0.99552,0.92683,0.96733,0.71098,1.00545,0.5486,1.3449,0.000612981,0.000612981,0.000612981
45,148.002,0.86497,0.60043,1.16178,0.96609,0.92683,0.96484,0.71326,1.01333,0.52973,1.35688,0.000597754,0.000597754,0.000597754
46,151.332,0.84863,0.57965,1.15306,0.94433,0.95122,0.96614,0.70559,1.02437,0.56281,1.38623,0.000582435,0.000582435,0.000582435
47,153.72,0.74334,0.52136,1.08806,0.9277,0.95122,0.95982,0.68992,1.00478,0.65582,1.404,0.00056704,0.00056704,0.00056704
